policy;formula;predicate;hint;nextFormula;normalizedFormula
BALANCED-TEDCOMPxPOPULARITY;all p: Photo, u: User | p in u . posts;inv1;One step away from the solution! Instead of using universal quantifier ('all') to specify that all elements in a set satisfy a condition, try using unique quantifier ('one') to specify that there is exactly one element in a set.;(all ref0:(one Photo)|(one ref1:(one User)|(ref0 in (ref1 . (User <: posts)))));(all ref0:(one Photo),ref1:(one User)|(ref0 in (ref1 . (User <: posts))))
COMPxArrival;all i: Influencer, u: User | i in u . follows;inv5;Keep going! Consider adding a disjunction operator ('or') to combine two boolean expressions. Think about how you can incorporate this within the universal quantifier ('all') expression.;(all ref0:(one Influencer),ref1:(one User)|((ref0 in ref1) || (ref0 in (ref1 . (User <: follows)))));(all ref0:(one Influencer),ref1:(one User)|(ref0 in (ref1 . (User <: follows))))
COMPxArrival;all u: User | Influencer in u . follows;inv5;Keep going! Consider adding a difference operator ('-') to remove elements from a set. Think about how you can incorporate this within the inclusion operator ('in') expression.;(all ref0:(one User)|((Influencer - ref0) in ((User <: follows) . ref0)));(all ref0:(one User)|(Influencer in (ref0 . (User <: follows))))
COMPxArrival;all u: User | u . follows in Influencer;inv5;"Keep going! You can use variables to help specify the condition. Consider introducing a new variable of type ""Influencer"" to your expression using the universal quantifier ('all').";(all ref0:(one Influencer),ref1:(one User)|((ref0 != ref1) => (ref1 in ((User <: follows) . ref0))));(all ref0:(one User)|((ref0 . (User <: follows)) in Influencer))
COMPxArrival;all p: Photo |some u: User | u -> p in posts;inv1;Keep going! Consider adding a conjunction operator ('and') to combine two boolean expressions. Think about how you can incorporate this within your expression to ensure the required property.;((all ref0:(one Photo)|(some ref1:(one User)|((ref1 -> ref0) in (User <: posts)))) && (all ref2:(one Photo),ref3:(one User),ref4:(one User)|((((ref3 -> ref2) in (User <: posts)) && ((ref4 -> ref2) in (User <: posts))) => (ref3 = ref4))));(all ref0:(one Photo)|(some ref1:(one User)|((ref1 -> ref0) in (User <: posts))))
COMPxArrival;all p: Photo | p in User . posts;inv1;Keep going! Consider adding a conjunction operator ('and') to combine two boolean expressions. Think about how you can incorporate this within your expression to ensure the required property.;((all ref0:(one Photo)|(some ref1:(one User)|(ref0 in (ref1 . (User <: posts))))) && (all ref2:(one Photo),ref3:(one User),ref4:(one User)|(((ref2 in (ref3 . (User <: posts))) && (ref2 in (ref4 . (User <: posts)))) => (ref3 = ref4))));(all ref0:(one Photo)|(ref0 in (User . (User <: posts))))
COMPxArrival;all p: Photo, u: User | p in u . posts;inv1;Keep going! Instead of using universal quantifier ('all') to specify that all elements in a set satisfy a condition, try using lone quantifier ('lone') to specify that there is at most one element in a set.;(all ref0:(one Photo)|(lone (ref0 & (User . (User <: posts)))));(all ref0:(one Photo),ref1:(one User)|(ref0 in (ref1 . (User <: posts))))
MIN-ONE;all i: Influencer, u: User | i in u . follows;inv5;Keep going! Consider adding a implication operator ('=>') to specify that if the left side is true, then the right side must also be true. Think about how you can incorporate this within the universal quantifier ('all') expression.;(all ref0:(one Influencer),ref1:(one User)|((ref0 !in ref1) => (ref0 in (ref1 . (User <: follows)))));(all ref0:(one Influencer),ref1:(one User)|(ref0 in (ref1 . (User <: follows))))
MIN-ONE;all u: User | Influencer in u . follows;inv5;Near a solution! Consider adding a difference operator ('-') to remove elements from a set. Think about how you can incorporate this within the inclusion operator ('in') expression.;(all ref0:(one User)|((Influencer - ref0) in (ref0 . (User <: follows))));(all ref0:(one User)|(Influencer in (ref0 . (User <: follows))))
MIN-ONE;all u: User | u . follows in Influencer;inv5;"Keep going! You can use variables to help specify the condition. Consider introducing a new variable of type ""Influencer"" to your expression using the universal quantifier ('all').";(all ref0:(one Influencer),ref1:(one User)|((ref0 != ref1) => (ref1 in ((User <: follows) . ref0))));(all ref0:(one User)|((ref0 . (User <: follows)) in Influencer))
MIN-ONE;all p: Photo |some u: User | u -> p in posts;inv1;One step away from the solution! Instead of using existential quantifier ('some') to specify that some elements in a set satisfy a condition, try using unique quantifier ('one') to specify that there is exactly one element in a set.;(all ref0:(one Photo)|(one ref1:(one User)|((ref1 -> ref0) in (User <: posts))));(all ref0:(one Photo)|(some ref1:(one User)|((ref1 -> ref0) in (User <: posts))))
MIN-ONE;all p: Photo | p in User . posts;inv1;Keep going! Consider adding a unique quantifier ('one') to specify that there is exactly one element in a set. Think about how you can incorporate this within the universal quantifier ('all') expression.;(all ref0:(one Photo)|(one ref1:(one User)|((ref1 -> ref0) in (User <: posts))));(all ref0:(one Photo)|(ref0 in (User . (User <: posts))))
MIN-ONE;all p: Photo, u: User | p in u . posts;inv1;One step away from the solution! Instead of using universal quantifier ('all') to specify that all elements in a set satisfy a condition, try using unique quantifier ('one') to specify that there is exactly one element in a set.;(all ref0:(one Photo)|(one ref1:(one User)|(ref0 in (ref1 . (User <: posts)))));(all ref0:(one Photo),ref1:(one User)|(ref0 in (ref1 . (User <: posts))))
MINMAX-COMP;all i: Influencer, u: User | i in u . follows;inv5;Near a solution! Consider adding a union operator ('+') to combine two sets. Think about how you can incorporate this within the one of expression.;(all ref0:(one Influencer),ref1:(one (Influencer + User))|(ref0 in (ref1 . (User <: follows))));(all ref0:(one Influencer),ref1:(one User)|(ref0 in (ref1 . (User <: follows))))
MINMAX-COMP;all u: User | Influencer in u . follows;inv5;Near a solution! Consider adding a difference operator ('-') to remove elements from a set. Think about how you can incorporate this within the one of expression.;(all ref0:(one (User - Influencer))|(Influencer in (ref0 . (User <: follows))));(all ref0:(one User)|(Influencer in (ref0 . (User <: follows))))
MINMAX-COMP;all u: User | u . follows in Influencer;inv5;"Keep going! You can use variables to help specify the condition. Consider introducing a new variable of type ""Influencer"" to your expression using the universal quantifier ('all').";(all ref0:(one Influencer),ref1:(one User)|((ref0 != ref1) => (ref1 in ((User <: follows) . ref0))));(all ref0:(one User)|((ref0 . (User <: follows)) in Influencer))
MINMAX-COMP;all p: Photo |some u: User | u -> p in posts;inv1;Keep going! Consider adding a conjunction operator ('and') to combine two boolean expressions. Think about how you can incorporate this within your expression to ensure the required property.;((all ref0:(one Photo)|(some ref1:(one User)|((ref1 -> ref0) in (User <: posts)))) && (all ref2:(one Photo),ref3:(one User),ref4:(one User)|((((ref3 -> ref2) in (User <: posts)) && ((ref4 -> ref2) in (User <: posts))) => (ref3 = ref4))));(all ref0:(one Photo)|(some ref1:(one User)|((ref1 -> ref0) in (User <: posts))))
MINMAX-COMP;all p: Photo | p in User . posts;inv1;Keep going! Instead of using inclusion operator ('in') to specify that some element(s) belong to a set, try using lone quantifier ('lone') to specify that there is at most one element in a set.;(all ref0:(one User)|(lone (ref0 . (User <: posts))));(all ref0:(one Photo)|(ref0 in (User . (User <: posts))))
MINMAX-COMP;all p: Photo, u: User | p in u . posts;inv1;Keep going! Consider adding a conjunction operator ('and') to combine two boolean expressions. Think about how you can incorporate this within your expression to ensure the required property.;((all ref0:(one Photo)|(ref0 in (User . (User <: posts)))) && (all ref1:(one Photo),ref2:(one User),ref3:(one User)|(((ref1 in (ref2 . (User <: posts))) && (ref1 in (ref3 . (User <: posts)))) => (ref2 = ref3))));(all ref0:(one Photo),ref1:(one User)|(ref0 in (ref1 . (User <: posts))))
